id,order_id,nps_score
342,237,10
343,1689,9
344,114,4
345,1877,2
346,1699,10
347,2381,3
348,2983,6
349,2846,8
350,2884,8
351,2674,0
352,2861,4
353,2890,9
354,2310,9
355,1414,2
356,1361,6
357,2086,7
358,2902,7
359,402,2
360,1622,6
361,326,1
362,742,9
363,1728,6
364,2290,9
365,126,10
366,496,10
367,2102,4
368,233,4
369,2730,9
370,1726,4
371,1438,8
372,387,4
373,1915,2
374,838,3
375,1097,1
376,1525,9
377,1659,4
378,2589,3
379,345,8
380,1099,9
381,648,6
382,938,9
383,627,0
384,2301,0
385,492,3
386,634,8
387,71,7
388,743,3
389,2487,2
390,2077,10
391,2376,2
392,1935,10
393,2747,3
394,1043,4
395,1903,0
396,1260,10
397,2292,9
398,1421,5
399,400,7
400,36,3
401,1655,10
402,541,6
403,1585,4
404,2885,9
405,1486,8
406,1267,10
407,1830,8
408,1493,4
409,569,3
410,1347,0
411,218,9
412,210,3
413,410,7
414,2166,10
415,1884,10
416,2340,6
417,1901,9
418,2879,0
419,1294,8
420,236,0
421,721,5
422,814,4
423,1561,6
424,2518,2
425,991,5
426,2707,1
427,571,10
428,1007,5
429,542,4
430,264,5
431,1001,9
432,137,5
433,2235,10
434,1963,1
435,1897,10
436,1961,8
437,1628,4
438,2281,7
439,235,4
440,2000,0
441,2733,4
442,2116,8
443,1420,1
444,1050,2
445,2831,9
446,242,9
447,982,9
448,945,5
449,2028,10
450,2350,4
451,110,7
452,1261,0
453,853,1
454,1276,3
455,1809,6
456,1872,6
457,1154,10
458,685,8
459,1917,1
460,2278,7
461,101,1
462,2136,8
463,397,10
464,519,4
465,2847,10
466,134,0
467,2833,0
468,164,10
469,691,7
470,423,10
471,2927,7
472,1503,8
473,943,4
474,8,8
475,820,5
476,2203,10
477,1213,10
478,880,10
479,2134,8
480,2571,3
481,1292,9
482,647,4
483,2193,9
484,2883,6
485,2895,7
486,859,9
487,2066,4
488,2040,10
489,2928,9
490,498,6
491,1903,1
492,2655,4
493,1291,2
494,1564,9
495,580,6
496,1223,2
497,618,5
498,1799,7
499,718,9
500,1420,1
501,1822,2
502,312,7
503,105,4
504,351,1
505,1333,2
506,1126,8
507,482,0
508,1694,7
509,208,3
510,2602,6
511,656,8
512,2405,2
513,939,9
514,879,2
515,543,8
516,1656,7
517,274,6
518,1036,4
519,1451,3
520,1217,8
521,2476,9
522,1446,8
523,2244,6
524,2594,4
525,1537,3
526,1325,8
527,5,5
528,2609,10
529,1019,9
530,2205,6
531,2346,9
532,587,1
533,392,5
534,1008,10
535,26,10
536,767,3
537,2728,10
538,1099,8
539,1133,9
540,2782,7
541,1883,2
542,1714,8
543,2301,2
544,1351,9
545,665,5
546,1253,9
547,1043,6
548,127,10
549,2652,9
550,242,9
551,174,5
552,1856,0
553,2304,10
554,2187,9
555,485,9
556,38,7
557,2179,9
558,2992,0
559,885,1
560,1810,9
561,1901,9
562,1064,1
563,1876,10
564,630,2
565,1204,4
566,391,9
567,897,8
568,1565,8
569,435,7
570,1774,2
571,2771,3
572,2538,0
573,1719,4
574,1005,10
575,2375,4
576,1315,2
577,1422,2
578,2601,6
579,48,8
580,2074,4
581,322,6
582,1540,4
583,2915,5
584,836,5
585,2616,1
586,846,8
587,1579,3
588,1136,10
589,1728,8
590,2931,5
591,466,5
592,556,10
593,577,10
594,2293,9
595,1276,8
596,1041,8
597,1254,4
598,2312,3
599,2102,10
600,1761,7
601,1926,9
602,2165,2
603,1231,10
604,2545,0
605,2472,10
606,2235,10
607,2209,8
608,1902,10
609,2689,6
610,1955,2
611,363,9
612,1552,8
613,2930,8
614,1073,0
615,2844,3
616,1950,0
617,2417,8
618,2940,5
619,1664,8
620,2914,8
621,864,10
622,1169,9
623,11,9
624,1207,0
625,2118,10
626,524,10
627,2785,3
628,1893,2
629,712,10
630,2175,10
631,715,0
632,2795,5
633,1247,0
634,1616,9
635,2872,10
636,924,3
637,884,7
638,1123,9
639,2981,7
640,702,9
641,739,0
642,2238,9
643,23,2
644,1513,4
645,2136,9
646,687,8
647,849,10
648,2628,0
649,2680,4
650,382,5
651,2938,3
652,1489,8
653,2922,5
654,808,9
655,922,6
656,681,2
657,2698,7
658,2355,1
659,624,10
660,2751,3
661,2749,3
662,1607,7
663,359,1
664,2443,5
665,243,10
666,2884,6
667,1682,4
668,1636,4
669,16,2
670,2638,5
671,103,9
672,713,9
673,2530,10
674,714,6
675,2213,4
676,2223,4
677,1553,3
678,1155,7
679,933,0
680,1844,5
681,1209,0
682,1134,6
683,283,10
684,508,6
685,2851,8
686,2948,5
687,22,9
688,861,10
689,90,4
690,1793,3
691,898,7
692,708,2
693,212,8
694,1796,9
695,1804,8
696,1622,8
697,2010,4
698,1672,10
699,1784,6
700,6,8
701,2790,10
702,428,6
703,1840,3
704,1046,3
705,2092,9
706,639,7
707,1891,9
708,53,3
709,2185,9
710,613,10
711,1130,10
712,1692,9
713,1289,10
714,381,6
715,603,7
716,1509,7
717,36,2
718,1680,9
719,2013,10
720,1661,7
721,2529,5
722,2447,10
723,1807,6
724,1094,6
725,780,0
726,2658,7
727,501,8
728,2186,10
729,2457,7
730,2221,7
731,2559,7
732,2077,9
733,2983,4
734,1716,10
735,2283,1
736,2144,8
737,3000,6
738,279,5
739,343,9
740,2105,7
741,2111,9
742,637,2
743,1143,8
744,1693,10
745,215,1
746,675,6
747,1590,10
748,1872,0
749,724,7
750,294,10
751,831,9
752,1671,9
753,1808,10
754,2741,7
755,1387,9
756,59,8
757,997,9
758,912,7
759,2475,3
760,4,7
761,365,7
762,1457,8
763,1251,3
764,2766,10
765,2344,10
766,1382,10
767,492,7
768,881,10
769,908,1
770,921,6
771,1638,2
772,1960,5
773,566,10
774,2414,6
775,2806,3
776,119,9
777,2327,10
778,1303,9
779,1478,2
780,1179,7
781,202,10
782,324,2
783,1343,6
784,1437,3
785,1992,10
786,1461,6
787,129,9
788,729,0
789,2076,8
790,1969,8
791,137,4
792,2700,9
793,2416,4
794,1332,2
795,2219,9
796,1391,5
797,1532,8
798,583,5
799,2060,7
800,1909,7
801,1127,7
802,629,8
803,257,7
804,860,5
805,947,6
806,2123,9
807,1548,2
808,1384,5
809,2736,10
810,1335,7
811,1574,3
812,738,9
813,668,3
814,511,6
815,2357,0
816,1077,5
817,852,0
818,1655,10
819,1055,7
820,58,1
821,446,9
822,784,4
823,1801,6
824,262,6
825,2158,4
826,1928,0
827,1105,8
828,347,6
829,2345,7
830,999,9
831,1474,3
832,2341,10
833,366,4
834,1301,3
835,321,6
836,2593,9
837,2898,8
838,1504,7
839,1979,5
840,2287,10
841,2112,9
842,1602,9
843,2349,5
844,1519,1
845,1837,0
846,288,10
847,89,9
848,2049,9
849,1403,10
850,2563,8
851,1815,1
852,2088,3
853,2267,4
854,397,7
855,2596,1
856,303,6
857,155,1
858,2514,9
859,1750,0
860,1273,3
861,1262,8
862,2871,10
863,2017,8
864,961,3
865,2481,3
866,2299,7
867,2047,5
868,2967,2
869,128,9
870,61,9
871,958,8
872,2889,10
873,2786,5
874,2772,10
875,848,10
876,800,2
877,66,1
878,503,3
879,957,10
880,871,9
881,2540,8
882,1479,8
883,2681,9
884,890,4
885,1045,6
886,160,8
887,2598,9
888,644,2
889,2252,9
890,1098,7
891,1758,6
892,326,2
893,1156,6
894,2553,7
895,750,5
896,620,8
897,1984,1
898,2966,9
899,108,10
900,2738,8
901,1563,9
902,1550,5
903,2873,8
904,354,2
905,1249,1
906,1643,9
907,2622,6
908,223,9
909,122,7
910,955,10
911,1378,9
912,2543,9
913,1017,8
914,367,10
915,1681,10
916,289,7
917,2082,9
918,292,9
919,607,4
920,865,9
921,2181,8
922,465,5
923,1305,5
924,2781,8
925,2250,9
926,203,5
927,2278,4
928,1975,7
929,1469,9
930,2676,3
931,2809,6
932,2276,10
933,1047,7
934,342,4
935,2848,3
936,1256,5
937,1797,6
938,2380,9
939,2315,2
940,1669,4
941,1644,7
942,773,10
943,488,9
944,1183,10
945,2225,2
946,543,4
947,278,10
948,2985,1
949,838,5
950,2657,0
951,1860,9
952,1162,9
953,1608,10
954,2191,3
955,708,4
956,1219,10
957,2820,10
958,866,4
959,2463,9
960,1815,5
961,1233,7
962,2067,9
963,1181,6
964,2844,9
965,2603,10
966,1276,3
967,1025,9
968,198,4
969,673,10
970,143,9
971,460,10
972,1218,2
973,1716,1
974,2671,3
975,154,9
976,802,9
977,514,2
978,2399,6
979,2986,9
980,1751,9
981,1167,5
982,903,7
983,969,7
984,2763,7
985,1425,4
986,2494,2
987,2684,9
988,1901,9
989,1386,8
990,2579,6
991,1351,10
992,379,8
993,2309,3
994,765,10
995,2012,0
996,2928,9
997,933,10
998,2546,4
999,1350,10
1000,2692,8
1001,611,7
1002,1260,10
1003,2691,9
1004,2957,2
1005,2908,3
1006,1210,9
1007,1090,6
1008,2759,10
1009,899,0
1010,958,8
1011,1522,10
1012,420,10
1013,168,4
1014,2605,2
1015,2310,8
1016,1204,1
1017,2180,7
1018,2319,0
1019,344,9
1020,2158,5
1021,1287,9
1022,413,8
1023,639,7
1024,2125,2
1025,280,3
1026,847,1
1027,705,0
1028,2798,3
1029,220,7
1030,2269,10
1031,963,6
1032,2193,9
1033,1486,9
1034,2527,7
1035,769,9
1036,1088,1
1037,1994,0
1038,484,6
1039,1211,10
1040,2173,8
1041,404,9
1042,1821,4
1043,68,0
1044,2952,0
1045,1082,5
1046,889,10
1047,1550,5
1048,2331,0
1049,885,8
1050,2582,9
1051,1459,10
1052,1385,10
1053,2937,9
1054,2669,0
1055,378,8
1056,1595,6
1057,571,9
1058,1314,2
1059,2543,9
1060,2767,10
1061,1885,10
1062,916,3
1063,986,4
1064,2350,3
1065,1152,5
1066,1139,8
1067,2024,10
1068,22,7
1069,2431,9
1070,1505,7
1071,2085,0
1072,2640,5
1073,1763,9
1074,32,8
1075,267,6
1076,231,5
1077,1062,0
1078,1414,1
1079,1041,10
1080,551,2
1081,2941,9
1082,610,2
1083,1798,6
1084,2753,7
1085,2723,3
1086,2955,9
1087,346,7
1088,8,8
1089,1098,6
1090,573,1
1091,2104,2
1092,70,5
1093,2060,10
1094,696,0
1095,1986,6
1096,2448,5
1097,1843,5
1098,2764,1
1099,2538,2
1100,2206,0
1101,1526,8
1102,1680,10
1103,219,3
1104,1089,10
1105,879,5
1106,2812,10
1107,456,9
1108,2348,6
1109,1854,5
1110,1807,10
1111,1726,0
1112,464,0
1113,505,9
1114,2075,10
1115,405,10
1116,830,9
1117,357,10
1118,1678,0
1119,598,7
1120,2268,0
1121,1496,9
1122,207,7
1123,1229,9
1124,950,10
1125,93,6
1126,978,1
1127,1701,9
1128,2433,4
1129,2916,1
1130,1320,4
1131,2792,5
1132,2337,1
1133,2138,8
1134,45,4
1135,213,9
1136,2901,10
1137,99,9
1138,596,7
1139,30,10
1140,269,7
1141,2665,5
1142,2163,8
1143,2480,2
1144,2823,2
1145,659,8
1146,570,1
1147,2384,10
1148,169,7
1149,692,0
1150,812,9
1151,1913,7
1152,2851,9
1153,179,0
1154,1603,0
1155,1036,2
1156,745,8
1157,1458,9
1158,688,5
1159,2976,3
1160,2230,9
1161,2617,4
1162,2597,5
1163,1371,4
1164,1847,10
1165,964,9
1166,2211,8
1167,186,10
1168,2518,0
1169,522,4
1170,215,3
1171,2131,3
1172,1418,10
1173,746,3
1174,763,3
1175,1946,0
1176,245,9
1177,1093,7
1178,719,5
1179,2920,8
1180,1999,10
1181,1063,10
1182,1262,6
1183,1814,4
1184,792,5
1185,289,4
1186,2103,5
1187,2155,6
1188,2385,9
1189,2027,8
1190,2788,6
1191,2872,10
1192,2700,9
1193,2852,0
1194,148,10
1195,1169,9
1196,1397,2
1197,1705,8
1198,906,6
1199,2819,6
1200,2545,2
1201,2078,0
1202,2834,2
1203,2961,4
1204,2776,3
1205,2702,7
1206,6,3
1207,2945,2
1208,1344,9
1209,2092,9
1210,2762,6
1211,2779,6
1212,1331,9
1213,203,10
1214,1358,7
1215,2435,0
1216,2470,9
1217,1445,10
1218,1822,1
1219,607,6
1220,1192,3
1221,113,8
1222,2878,7
1223,2279,6
1224,2680,5
1225,406,1
1226,1562,10
1227,2301,0
1228,1833,2
1229,271,8
1230,1387,10
1231,2770,7
1232,988,8
1233,1977,1
1234,2951,7
1235,2980,4
1236,1508,10
1237,1729,0
1238,2036,2
1239,1825,10
1240,2261,1
1241,2536,7
1242,807,3
1243,2171,5
1244,1119,4
1245,2587,4
1246,221,4
1247,1118,10
1248,1021,10
1249,1421,4
1250,2724,4
1251,2147,0
1252,2743,8
1253,1473,7
1254,191,6
1255,2552,9
1256,1216,9
1257,29,6
1258,756,1
1259,1825,9
1260,961,5
1261,1074,7
1262,338,10
1263,912,6
1264,1008,10
1265,847,5
1266,2674,0
1267,602,6
1268,2969,0
1269,836,5
1270,2013,10
1271,2714,4
1272,242,9
1273,1129,3
1274,1752,7
1275,2239,8
1276,1026,9
1277,2623,10
1278,461,6
1279,1229,9
1280,920,10
1281,1640,2
1282,1977,4
1283,2845,9
1284,1803,10
1285,1875,8
1286,2380,10
1287,1373,6
1288,1725,4
1289,922,10
1290,2306,2
1291,305,0
1292,2655,1
1293,2164,4
1294,2900,8
1295,416,9
1296,2132,4
1297,2617,10
1298,1308,3
1299,2844,6
1300,787,8
1301,1271,5
1302,1021,5
1303,2146,4
1304,1570,2
1305,985,0
1306,299,9
1307,1532,1
1308,2594,7
1309,1662,7
1310,2480,5
1311,567,9
1312,2941,7
1313,2794,10
1314,113,8
1315,2632,8
1316,2890,8
1317,1686,9
1318,831,9
1319,1624,10
1320,1541,3
1321,2454,10
1322,328,8
1323,331,6
1324,142,10
1325,741,8
1326,1644,5
1327,2134,7
1328,548,7
1329,1605,9
1330,2430,10
1331,1105,4
1332,2095,3
1333,834,3
1334,1414,2
1335,2181,7
1336,2925,10
1337,2924,7
1338,1037,9
1339,543,7
1340,1820,9
1341,2448,9
1342,2733,10
1343,1444,10
1344,2142,0
1345,2012,3
1346,2154,3
1347,1512,6
1348,2341,10
1349,2153,8
1350,2418,10
1351,1040,9
1352,594,5
1353,278,8
1354,732,5
1355,2280,5
1356,1383,6
1357,621,6
1358,1098,6
1359,2324,0
1360,2140,1
1361,520,7
1362,1885,7
1363,2846,9
1364,1194,8
1365,2447,2
1366,1195,7
1367,702,9
1368,2595,0
1369,1542,5
1370,1136,8
1371,1898,9
1372,95,8
1373,1906,1
1374,264,6
1375,2831,9
1376,241,5
1377,1856,6
1378,1362,4
1379,2543,9
1380,2050,10
1381,2704,8
1382,854,4
1383,2898,9
1384,1084,4
1385,496,9
1386,832,6
1387,2934,9
1388,65,6
1389,579,1
1390,1833,1
1391,480,9
1392,1005,9
1393,629,3
1394,4,2
1395,740,10
1396,10,3
1397,1901,9
1398,2234,9
1399,2305,8
1400,2248,6
1401,2939,9
1402,735,6
1403,611,6
1404,880,9
1405,898,7
1406,2505,3
1407,1169,9
1408,2476,8
1409,2392,2
1410,81,10
1411,1845,9
1412,917,5
1413,2786,8
1414,1152,1
1415,863,10
1416,2622,3
1417,1235,9
1418,1824,9
1419,1650,9
1420,2670,1
1421,2938,7
1422,674,0
1423,1755,10
1424,2503,1
1425,2550,5
1426,835,9
1427,2870,6
1428,2297,3
1429,2391,10
1430,2874,8
1431,1622,5
1432,362,9
1433,280,8
1434,1549,5
1435,1047,4
1436,641,10
1437,1970,6
1438,2747,3
1439,83,10
1440,725,5
1441,958,10
1442,1174,8
1443,2729,9
1444,2732,9
1445,64,3
1446,2508,4
1447,2088,2
1448,824,6
1449,1943,9
1450,2581,5
1451,90,7
1452,2896,5
1453,998,9
1454,2304,7
1455,1311,10
1456,353,10
1457,2435,0
1458,1764,4
1459,287,0
1460,1438,7
1461,127,10
1462,1139,8
1463,2966,9
1464,149,6
1465,1793,2
1466,2263,10
1467,859,10
1468,881,10
1469,2377,7
1470,825,0
1471,532,2
1472,2225,4
1473,1038,3
1474,1351,10
1475,2264,7
1476,2348,7
1477,697,2
1478,1011,1
1479,2979,8
1480,2023,7
1481,2493,0
1482,2833,1
1483,2646,10
1484,1036,2
1485,821,9
1486,1723,0
1487,766,3
1488,1677,6
1489,1670,9
1490,2725,9
1491,2309,3
1492,1180,6
1493,2685,8
1494,380,8
1495,1335,7
1496,2664,5
1497,13,9
1498,282,8
1499,1397,0
1500,1737,1
1501,171,0
1502,877,10
1503,161,10
1504,2596,4
1505,1404,8
1506,1996,1
1507,134,0
1508,34,10
1509,2215,4
1510,970,3
1511,563,6
1512,2285,9
1513,2611,10
1514,1488,10
1515,1628,4
1516,2926,6
1517,50,8
1518,2032,0
1519,2273,2
1520,848,10
1521,2229,7
1522,2606,8
1523,1736,7
1524,2516,7
1525,2379,8
1526,2024,10
1527,2972,10
1528,1933,9
1529,87,10
1530,1635,2
1531,2078,3
1532,1995,6
1533,1847,10
1534,2702,6
1535,810,2
1536,1587,5
1537,2856,8
1538,7,6
1539,528,8
1540,2217,7
1541,260,8
1542,41,10
1543,2216,4
1544,2602,4
1545,1653,10
1546,262,7
1547,2151,8
1548,2337,4
1549,2288,7
1550,1519,4
1551,1320,0
1552,2675,9
1553,2995,9
1554,2005,6
1555,1166,7
1556,2813,10
1557,2573,9
1558,2473,1
1559,1,8
1560,2947,10
1561,1100,4
1562,14,7
1563,1114,2
1564,2686,7
1565,2278,8
1566,104,7
1567,2294,1
1568,1780,9
1569,699,9
1570,2970,4
1571,962,7
1572,2633,10
1573,1902,7
1574,856,7
1575,671,5
1576,152,10
1577,652,0
1578,2915,6
1579,1141,9
1580,799,6
1581,1000,3
1582,1586,7
1583,2553,4
1584,2791,7
1585,2923,2
1586,2567,2
1587,1336,10
1588,2455,9
1589,1305,8
1590,2220,7
1591,45,1
1592,1716,4
1593,251,5
1594,1984,4
1595,2887,9
1596,694,6
1597,411,4
1598,139,10
1599,1468,9
1600,606,3
1601,2318,3
1602,1789,9
1603,1682,3
1604,2653,4
1605,1348,6
1606,1285,10
1607,2677,10
1608,1683,8
1609,1450,7
1610,2864,10
1611,1949,5
1612,418,9
1613,2872,10
1614,216,5
1615,2582,9
1616,508,2
1617,2625,1
1618,1876,8
1619,2213,1
1620,593,0
1621,2016,0
1622,479,10
1623,1237,10
1624,1296,10
1625,600,0
1626,2058,10
1627,1767,5
1628,1642,0
1629,2167,9
1630,141,4
1631,581,8
1632,2235,10
1633,2372,7
1634,1774,4
1635,2717,1
1636,1855,10
1637,2599,3
1638,2696,9
1639,266,8
1640,1872,7
1641,1732,1
1642,452,5
1643,1925,10
1644,1056,5
1645,350,1
1646,2724,8
1647,459,5
1648,1988,8
1649,1018,8
1650,1763,10
1651,2158,2
1652,1726,0
1653,843,9
1654,1673,10
1655,2037,5
1656,98,7
1657,1948,0
1658,2808,1
1659,426,10
1660,2287,8
1661,1506,3
1662,1254,4
1663,1246,7
1664,1601,7
1665,1510,2
1666,1284,7
1667,2412,5
1668,690,5
1669,875,4
1670,2474,5
1671,2266,6
1672,1103,7
1673,249,10
1674,763,5
1675,1501,8
1676,2618,7
1677,1712,10
1678,1170,0
1679,1905,9
1680,539,7
1681,1432,8
1682,2419,9
1683,1511,1
1684,44,4
1685,2401,4
1686,2654,5
1687,885,3
1688,196,8
1689,2247,7
1690,284,7
1691,2111,8
1692,2457,8
1693,955,7
1694,339,10
1695,2456,8
1696,2307,5
1697,2344,8
1698,1192,0
1699,667,8
1700,2806,5
1701,2661,6
1702,2432,7
1703,972,8
1704,1808,8
1705,2723,1
1706,704,7
1707,2122,8
1708,2137,2
1709,1742,7
1710,731,1
1711,1071,10
1712,853,0
1713,1282,8
1714,800,4
1715,811,10
1716,186,8
1717,2665,5
1718,775,10
1719,2377,10
1720,771,0
1721,569,0
1722,1686,9
1723,2682,4
1724,1020,1
1725,2047,5
1726,1311,8
1727,2152,0
1728,798,5
1729,1096,10
1730,1088,1
1731,1757,0
1732,2837,10
1733,1005,8
1734,916,3
1735,597,0
1736,727,4
1737,421,8
1738,376,5
1739,2748,6
1740,1302,4
1741,1597,9
1742,1270,9
1743,1726,0
1744,2141,4
1745,1489,10
1746,2211,3
1747,2124,10
1748,2845,10
1749,13,9
1750,558,3
1751,716,4
1752,2418,9
1753,1024,4
1754,1030,9
1755,2636,5
1756,1269,2
1757,517,9
1758,606,4
1759,2980,3
1760,2579,7
1761,2797,6
1762,171,2
1763,2718,9
1764,873,1
1765,1683,3
1766,1728,3
1767,1899,9
1768,1918,8
1769,792,6
1770,954,10
1771,774,5
1772,1403,4
1773,2192,1
1774,2317,8
1775,2161,10
1776,9,0
1777,2500,8
1778,2754,7
1779,252,8
1780,2619,3
1781,1203,3
1782,1615,8
1783,2529,9
1784,1251,1
1785,219,3
1786,1319,6
1787,736,2
1788,1529,9
1789,301,9
1790,1384,1
1791,2225,5
1792,1331,9
1793,1798,1
1794,1215,7
1795,735,8
1796,1691,4
1797,2359,5
1798,411,8
1799,1530,10
1800,793,2
1801,997,8
1802,2216,0
1803,2590,9
1804,2856,9
1805,2355,4
1806,1169,9
1807,684,9
1808,687,10
1809,692,4
1810,380,3
1811,2683,0
1812,2831,9
1813,2297,6
1814,2244,10
1815,1245,10
1816,2548,10
1817,1190,9
1818,941,10
1819,2464,5
1820,903,3
1821,841,5
1822,1768,5
1823,1388,5
1824,1316,9
1825,1151,10
1826,523,8
1827,1672,9
1828,577,9
1829,2700,8
1830,961,4
1831,986,5
1832,2715,0
1833,1729,2
1834,2851,10
1835,1178,10
1836,2219,8
1837,359,0
1838,465,0
1839,275,2
1840,1827,7
1841,1017,9
1842,47,0
1843,452,1
1844,871,10
1845,815,8
1846,2273,2
1847,772,9
1848,2738,1
1849,2749,0
1850,481,0
1851,1629,2
1852,347,7
1853,1512,9
1854,1536,8
1855,1892,7
1856,956,9
1857,2542,5
1858,755,9
1859,1804,9
1860,2086,4
1861,1397,4
1862,1070,8
1863,2634,5
1864,265,4
1865,1497,0
1866,487,8
1867,50,9
1868,2,0
1869,2431,10
1870,497,9
1871,2157,5
1872,539,1
1873,2011,9
1874,2310,8
1875,1479,8
1876,611,7
1877,1751,8
1878,1423,0
1879,2861,2
1880,2859,6
1881,2438,9
1882,2420,9
1883,1524,3
1884,1670,10
1885,721,2
1886,585,9
1887,1785,9
1888,1743,6
1889,2604,0
1890,133,8
1891,2437,3
1892,1152,8
1893,1359,2
1894,95,9
1895,1149,0
1896,1179,6
1897,67,10
1898,1349,7
1899,2382,3
1900,1962,9
1901,1170,0
1902,361,0
1903,1687,9
1904,2867,10
1905,2844,9
1906,2171,3
1907,458,3
1908,161,8
1909,2835,5
1910,1549,7
1911,2010,9
1912,1148,2
1913,248,0
1914,1071,9
1915,2767,9
1916,2705,9
1917,28,10
1918,241,8
1919,701,10
1920,1874,1
1921,254,3
1922,994,0
1923,153,0
1924,1023,10
1925,840,9
1926,2315,0
1927,187,8
1928,1202,1
1929,2048,10
1930,729,0
1931,75,9
1932,1749,0
1933,2183,5
1934,770,0
1935,2799,9
1936,522,4
1937,2595,3
1938,2415,9
1939,1639,0
1940,1820,10
1941,2729,9
1942,2083,5
1943,2261,5
1944,2339,10
1945,1127,8
1946,2609,9
1947,373,10
1948,238,9
1949,898,7
1950,2145,3
1951,2266,7
1952,2045,6
1953,1235,9
