id,partner,order_datetime,item,category,unit_price,quantity,sales
51,Doormart,2021-09-21 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
52,Nile.com,2020-12-09 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
53,Priceco,2020-10-08 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
54,Walblues,2020-06-10 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
55,J-Mart,2021-04-23 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
56,Bullseye,2021-09-20 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
57,Doormart,2020-11-22 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
58,Nile.com,2021-06-15 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
59,Priceco,2019-04-24 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
60,Walblues,2020-09-25 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,10,35.5
61,J-Mart,2020-10-20 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
62,Bullseye,2019-11-20 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
63,Doormart,2020-10-11 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
64,Nile.com,2021-05-16 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
65,Priceco,2021-03-24 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
66,Walblues,2021-05-26 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
67,J-Mart,2020-08-04 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,50,106.5
68,Bullseye,2020-12-28 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
69,Doormart,2020-05-16 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,200,1136
70,Nile.com,2021-01-28 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,50,106.5
71,Priceco,2021-04-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
72,Walblues,2021-08-07 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
73,J-Mart,2021-02-05 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,100,355
74,Bullseye,2021-07-28 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,50,745.5
75,Doormart,2021-11-26 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
76,Nile.com,2021-10-28 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
77,Priceco,2021-08-04 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
78,Walblues,2020-06-01 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
79,J-Mart,2021-01-17 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
80,Bullseye,2019-08-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
81,Doormart,2021-05-07 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
82,Nile.com,2019-06-21 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
83,Priceco,2020-12-25 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
84,Walblues,2021-03-29 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
85,J-Mart,2019-07-24 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
86,Bullseye,2019-07-23 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
87,Doormart,2021-01-04 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,200,12638
88,Nile.com,2020-11-09 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
89,Priceco,2021-07-16 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
90,Walblues,2021-02-19 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
91,J-Mart,2020-04-15 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
92,Bullseye,2020-09-08 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
93,Doormart,2019-01-04 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
94,Nile.com,2020-10-15 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
95,Priceco,2020-05-25 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
96,Walblues,2021-05-19 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
97,J-Mart,2019-09-24 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
98,Bullseye,2019-03-16 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,50,106.5
99,Doormart,2020-03-24 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
100,Nile.com,2020-10-14 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,200,4828
101,Priceco,2019-09-08 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
102,Walblues,2019-05-12 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
103,J-Mart,2021-01-13 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
104,Bullseye,2021-05-13 08:00:00 UTC,Typewriter,Odd Equipment,63.19,10,631.9
105,Doormart,2021-01-23 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
106,Nile.com,2019-09-23 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
107,Priceco,2020-12-27 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
108,Walblues,2021-12-02 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,100,1491
109,J-Mart,2021-05-25 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
110,Bullseye,2021-11-15 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
111,Doormart,2020-02-28 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
112,Nile.com,2021-12-13 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
113,Priceco,2021-11-29 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
114,Walblues,2019-03-14 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,10,631.9
115,J-Mart,2019-07-19 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,50,461.5
116,Bullseye,2019-12-15 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
117,Doormart,2021-11-13 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
118,Nile.com,2020-01-04 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
119,Priceco,2020-06-29 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
120,Walblues,2019-05-29 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
121,J-Mart,2020-05-22 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
122,Bullseye,2019-12-24 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
123,Doormart,2020-07-23 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
124,Nile.com,2019-06-30 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,10,35.5
125,Priceco,2019-09-16 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
126,Walblues,2019-06-22 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,50,177.5
127,J-Mart,2019-09-11 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
128,Bullseye,2019-11-07 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,100,355
129,Doormart,2021-07-13 08:00:00 UTC,Typewriter,Odd Equipment,63.19,200,12638
130,Nile.com,2021-02-10 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
131,Priceco,2019-08-20 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
132,Walblues,2020-06-30 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,50,177.5
133,J-Mart,2019-04-29 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
134,Bullseye,2020-07-15 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
135,Doormart,2021-06-05 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
136,Nile.com,2021-05-22 08:00:00 UTC,Microscope,Odd Equipment,102.24,50,5112
137,Priceco,2020-10-05 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
138,Walblues,2021-04-10 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
139,J-Mart,2020-07-26 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
140,Bullseye,2020-10-22 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
141,Doormart,2019-01-25 08:00:00 UTC,Microscope,Odd Equipment,102.24,200,20448
142,Nile.com,2021-11-18 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
143,Priceco,2019-06-06 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
144,Walblues,2019-10-13 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
145,J-Mart,2021-12-29 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
146,Bullseye,2021-03-11 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
147,Doormart,2020-01-20 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,200,1136
148,Nile.com,2019-10-30 08:00:00 UTC,Microscope,Odd Equipment,102.24,10,1022.4
149,Priceco,2021-05-14 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
150,Walblues,2020-09-07 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
151,J-Mart,2021-02-26 08:00:00 UTC,Microscope,Odd Equipment,102.24,10,1022.4
152,Bullseye,2020-05-23 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
153,Doormart,2019-04-15 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
154,Nile.com,2021-03-23 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,100,1491
155,Priceco,2019-07-29 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,100,923
156,Walblues,2021-03-24 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
157,J-Mart,2021-06-14 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
158,Bullseye,2020-03-05 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
159,Doormart,2021-09-06 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,200,1846
160,Nile.com,2021-09-30 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,10,149.1
161,Priceco,2021-01-03 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
162,Walblues,2021-03-14 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,100,6319
163,J-Mart,2020-01-21 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
164,Bullseye,2019-10-26 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
165,Doormart,2021-05-11 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
166,Nile.com,2021-10-01 08:00:00 UTC,Typewriter,Odd Equipment,63.19,50,3159.5
167,Priceco,2019-04-20 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
168,Walblues,2019-05-15 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
169,J-Mart,2020-04-09 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
170,Bullseye,2020-04-04 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,50,1952.5
171,Doormart,2019-11-10 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
172,Nile.com,2021-05-07 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
173,Priceco,2021-10-12 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
174,Walblues,2019-12-28 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
175,J-Mart,2020-07-30 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,50,3159.5
176,Bullseye,2021-10-02 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
177,Doormart,2019-08-12 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,200,2982
178,Nile.com,2021-02-21 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,200,1136
179,Priceco,2019-07-27 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
180,Walblues,2021-02-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
181,J-Mart,2021-10-14 08:00:00 UTC,Typewriter,Odd Equipment,63.19,10,631.9
182,Bullseye,2020-06-24 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
183,Doormart,2021-12-12 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
184,Nile.com,2021-05-03 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
185,Priceco,2019-06-03 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
186,Walblues,2019-12-09 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
187,J-Mart,2021-12-11 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,50,106.5
188,Bullseye,2020-12-17 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
189,Doormart,2020-04-12 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,200,1846
190,Nile.com,2020-06-11 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
191,Priceco,2021-10-06 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
192,Walblues,2021-09-10 08:00:00 UTC,Lamp,Odd Equipment,24.14,10,241.4
193,J-Mart,2019-02-14 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
194,Bullseye,2021-06-20 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
195,Doormart,2019-03-12 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
196,Nile.com,2020-01-11 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,200,4828
197,Priceco,2020-09-29 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
198,Walblues,2020-04-21 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
199,J-Mart,2021-02-17 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,100,3905
200,Bullseye,2019-11-01 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,50,177.5
201,Doormart,2020-07-26 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,200,1136
202,Nile.com,2021-06-09 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,50,106.5
203,Priceco,2021-11-05 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
204,Walblues,2021-05-26 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
205,J-Mart,2019-10-12 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,50,1207
206,Bullseye,2019-12-16 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
207,Doormart,2021-09-14 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
208,Nile.com,2019-04-09 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
209,Priceco,2020-10-24 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
210,Walblues,2021-12-31 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
211,J-Mart,2021-11-02 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
212,Bullseye,2021-08-21 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
213,Doormart,2021-05-29 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
214,Nile.com,2021-12-16 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
215,Priceco,2021-08-11 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,100,923
216,Walblues,2020-08-04 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
217,J-Mart,2019-11-24 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,10,92.3
218,Bullseye,2020-04-08 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,100,6319
219,Doormart,2019-08-01 08:00:00 UTC,Typewriter,Odd Equipment,63.19,100,6319
220,Nile.com,2020-03-02 08:00:00 UTC,Typewriter,Odd Equipment,63.19,200,12638
221,Priceco,2019-01-15 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
222,Walblues,2021-04-01 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
223,J-Mart,2020-04-07 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,200,2982
224,Bullseye,2021-04-06 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
225,Doormart,2021-06-11 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,200,2982
226,Nile.com,2020-04-27 08:00:00 UTC,Microscope,Odd Equipment,102.24,10,1022.4
227,Priceco,2020-07-15 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,100,6319
228,Walblues,2021-06-15 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
229,J-Mart,2020-01-09 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
230,Bullseye,2019-09-20 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,100,213
231,Doormart,2020-09-15 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
232,Nile.com,2020-11-28 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
233,Priceco,2021-12-23 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,100,355
234,Walblues,2021-06-04 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
235,J-Mart,2019-01-29 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,50,284
236,Bullseye,2020-04-23 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
237,Doormart,2019-11-26 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
238,Nile.com,2019-12-28 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
239,Priceco,2019-06-17 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,100,1491
240,Walblues,2019-03-16 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,50,461.5
241,J-Mart,2019-12-19 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
242,Bullseye,2019-06-16 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,50,461.5
243,Doormart,2019-05-24 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
244,Nile.com,2021-12-12 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,200,1136
245,Priceco,2021-06-10 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
246,Walblues,2020-01-15 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,10,35.5
247,J-Mart,2021-03-23 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,50,461.5
248,Bullseye,2021-11-08 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
249,Doormart,2021-01-03 08:00:00 UTC,Microscope,Odd Equipment,102.24,200,20448
250,Nile.com,2019-05-18 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,10,35.5
251,Priceco,2020-02-25 08:00:00 UTC,Toy Doll,Sinister Toys,3.55,100,355
252,Walblues,2020-08-14 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
253,J-Mart,2020-11-20 08:00:00 UTC,Typewriter,Odd Equipment,63.19,10,631.9
254,Bullseye,2021-07-18 08:00:00 UTC,Lamp,Odd Equipment,24.14,50,1207
255,Doormart,2019-10-26 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,50,1207
256,Nile.com,2020-10-23 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
257,Priceco,2019-01-09 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,100,6319
258,Walblues,2019-02-16 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
259,J-Mart,2021-05-09 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,10,241.4
260,Bullseye,2021-08-30 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,200,426
261,Doormart,2021-04-11 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,200,4828
262,Nile.com,2019-05-31 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
263,Priceco,2020-03-17 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
264,Walblues,2020-12-03 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
265,J-Mart,2019-06-12 08:00:00 UTC,Baseball Card,Sinister Toys,2.13,10,21.3
266,Bullseye,2019-08-16 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,100,568
267,Doormart,2020-04-18 08:00:00 UTC,Necklace,Mysterious Apparel,9.23,50,461.5
268,Nile.com,2020-05-03 08:00:00 UTC,Mystic Pendant,Mysterious Apparel,5.68,10,56.8
269,Priceco,2020-07-13 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,100,923
270,Walblues,2020-11-29 08:00:00 UTC,Vintage Jacket,Mysterious Apparel,24.14,100,2414
271,J-Mart,2020-01-06 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
272,Bullseye,2019-06-20 08:00:00 UTC,Microscope,Odd Equipment,102.24,100,10224
273,Doormart,2019-07-21 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,200,7810
274,Nile.com,2020-12-21 08:00:00 UTC,Lamp,Odd Equipment,24.14,200,4828
275,Priceco,2021-01-03 08:00:00 UTC,Lamp,Odd Equipment,24.14,100,2414
276,Walblues,2021-04-30 08:00:00 UTC,Model Racehorse,Sinister Toys,9.23,10,92.3
277,J-Mart,2019-11-25 08:00:00 UTC,Fishing Rod,Cursed Sporting Goods,63.19,50,3159.5
278,Bullseye,2021-08-13 08:00:00 UTC,Running Shoes,Cursed Sporting Goods,39.05,10,390.5
279,Doormart,2021-04-03 08:00:00 UTC,Boxing Gloves,Cursed Sporting Goods,14.91,100,1491
